argila;silte;areia;ds;ma;mi;c;elevation;soilslope;aspect;curvature;plancurve;profilecurve;tetas;umidade
8.46;33.61;57.93;1.59;0.2336;0.1673;0.36;315.22;17.73;353.32;-0.9277;-0.7131;0.2146;0;0.3170
19.62;24.94;55.44;1.34;0.3031;0.1924;0.83;317.49;24.48;345.39;-1.2390;-0.1644;1.0746;0;0.4100
17.73;32.08;50.18;1.63;0.1246;0.2594;0.33;326.63;17.34;232.77;0.5127;0.2159;-0.2968;0;0.3610
22.66;27.18;50.16;1.67;0.1608;0.2094;0.51;343.78;10.46;124.33;-1.0010;-0.5211;0.4799;0;0.3390
35.43;27.71;36.85;0.81;0.4669;0.2285;1.30;325.82;20.10;198.77;1.1688;1.3637;0.1949;0;0.6020
29.62;29.87;40.51;0.90;0.4639;0.1962;1.67;320.68;21.51;179.71;0.2991;-0.2899;-0.5890;0;0.4450
22.00;26.74;51.26;1.32;0.3453;0.1569;0.93;327.14;29.00;229.02;0.8545;0.1746;-0.6799;0;0.4220
20.55;38.86;40.59;0.85;0.3106;0.3677;2.52;328.60;22.67;177.13;0.0519;-0.0240;0.0278;0;0.6820
12.85;26.23;60.92;1.26;0.2478;0.2759;1.31;323.35;16.98;153.60;0.4669;-0.3312;0.1357;0;0.5450
23.39;29.14;47.47;1.53;0.1620;0.2605;0.35;340.21;9.67;304.41;-0.5981;0.2494;-0.3488;0;0.4380
45.88;22.05;32.07;0.90;0.4401;0.2210;0.56;349.52;12.61;281.43;0.1526;-0.1920;-0.0394;0;0.5130
12.53;35.00;52.47;1.53;0.2564;0.1668;0.15;328.12;14.87;304.48;-0.0458;0.0891;0.0433;0;0.3810
16.63;49.17;34.19;1.49;0.2696;0.1694;0.46;327.37;29.28;215.12;0.1282;0.0749;0.2031;0;0.3890
18.05;21.74;60.21;1.38;0.3210;0.1597;1.30;340.61;33.57;252.59;-0.0214;0.0661;0.0448;0;0.4930
20.66;28.95;50.40;1.45;0.3036;0.1509;0.45;345.09;1.94;227.31;-0.4700;0.0571;-0.4129;0;0.3970
17.86;36.32;45.82;1.48;0.2554;0.1844;0.57;336.07;21.49;124.28;-1.6418;0.6390;-1.0029;0;0.4060
22.15;27.02;50.83;1.63;0.1831;0.2011;0.56;341.25;24.89;282.58;0.3387;-0.5328;-0.1941;0;0.3940
10.14;28.16;61.69;1.60;0.2109;0.1854;0.32;345.74;6.97;233.41;-0.5707;0.0850;-0.4857;0;0.2260
11.75;37.44;50.81;1.50;0.2838;0.1484;0.33;354.00;20.15;318.71;-0.2319;0.1254;0.3573;0;0.2550
20.98;25.52;53.50;1.60;0.1810;0.2143;0.82;328.71;19.17;111.87;0.2960;-0.2651;-0.5611;0;0.3720
6.55;27.72;65.73;1.48;0.3271;0.1144;0.37;319.21;27.22;246.86;-0.6134;0.2741;0.8875;0;0.2640
19.17;28.94;51.89;1.42;0.3075;0.1550;1.26;333.56;14.14;260.51;-2.3102;-2.0015;0.3087;0;0.3450
18.40;31.53;50.07;1.37;0.2936;0.1907;0.74;352.88;22.89;301.62;1.3214;-0.4347;-1.7561;0;0.4670
13.45;36.71;49.84;1.37;0.3241;0.1602;0.84;353.85;22.22;157.78;-0.2258;-0.3448;-0.1189;0;0.3270
12.57;25.92;61.51;1.51;0.2676;0.1643;1.08;344.49;18.65;197.43;-1.0345;-1.0230;0.0115;0;0.3600
27.32;27.62;45.06;1.63;0.1540;0.2319;1.10;342.76;18.53;309.31;-0.4395;-0.5117;-0.0722;0;0.3590
29.48;25.83;44.69;1.53;0.1789;0.2456;1.24;358.40;13.78;319.76;0.6012;0.0581;-0.5431;0;0.3900
35.42;21.79;42.79;1.36;0.2638;0.2237;1.12;364.34;6.40;206.76;0.4181;0.2906;-0.1275;0;0.4140
29.56;22.47;47.97;1.39;0.2396;0.2352;1.34;338.29;17.47;121.32;0.0183;-0.1526;-0.1709;0;0.4120
18.37;32.43;49.20;1.22;0.3643;0.1767;0.74;335.16;38.85;301.56;-0.7751;-0.1889;0.5862;0;0.3820
13.60;29.90;56.50;1.56;0.2619;0.1496;0.89;357.99;20.99;331.58;0.2075;0.0227;-0.1849;0;0.3920
24.29;27.78;47.93;1.41;0.2808;0.1867;0.58;361.98;7.24;162.79;0.5310;0.2764;-0.2546;0;0.3580
