argila;silte;areia;ds;ma;mi;c;elevation;soilslope;aspect;curvature;plancurve;profilecurve;tetas;umidade
11.82;20.45;67.73;1.59;0.1257;0.2314;1.96;146;13.93;21.04;1.2800;0.5440;-0.7360;100;0.1609
22.60;25.17;52.23;1.67;0.0175;0.3331;2.35;71;7.62;293.20;-0.6400;-0.3840;0.2560;100;0.3031
17.33;15.14;67.53;1.22;0.2553;0.2746;2.13;142;5.10;78.69;0.6400;0.0000;-0.6400;100;0.2027
20.54;16.20;63.27;1.30;0.2109;0.2384;2.26;171;16.97;135.00;1.2800;0.6400;-0.6400;100;0.1997
15.50;14.67;69.83;1.50;0.2041;0.2268;2.28;129;14.56;344.05;0.6400;0.6024;-0.0376;100;0.1824
23.95;17.85;58.20;1.61;0.1240;0.2524;2.29;115;14.42;213.69;0.6400;-0.0985;-0.7385;100;0.2252
18.15;28.55;53.30;1.54;0.0621;0.3550;2.27;190;17.89;243.43;0.0000;0.0000;0.0000;100;0.2648
15.85;18.89;65.27;1.49;0.1242;0.2791;2.31;247;19.24;8.97;-1.2800;-0.7015;0.5785;100;0.2219
20.48;18.89;60.63;1.35;0.1239;0.3462;2.34;272;8.00;180.00;0.0000;0.0000;0.0000;100;0.2604
32.53;17.27;50.20;1.10;0.2126;0.3367;2.60;252;5.83;300.96;-1.2800;-0.4800;0.8000;100;0.2146
6.97;9.30;83.73;1.42;0.2660;0.1649;2.02;254;9.06;96.34;0.0000;0.0000;0.0000;100;0.0889
10.38;14.38;75.23;1.44;0.2591;0.1998;2.03;257;0.00;-1.00;0.0000;0.0000;0.0000;100;0.1407
